sep=,
"Time","x_Acc","y_Acc","z_Acc"
2022-04-02 12:49:06,20.0 mg,,
2022-04-02 12:49:07,20.0 mg,,
2022-04-02 12:49:08,16.0 mg,,
2022-04-02 12:49:09,18.5 mg,33.6 mg,
2022-04-02 12:49:10,16.6 mg,34.1 mg,1030.0 mg
2022-04-02 12:49:11,16.4 mg,33.3 mg,1023.3 mg
2022-04-02 12:49:12,20.7 mg,33.4 mg,1025.0 mg
2022-04-02 12:49:13,18.2 mg,32.1 mg,1024.7 mg
2022-04-02 12:49:14,16.0 mg,35.0 mg,1023.0 mg
2022-04-02 12:49:15,16.8 mg,35.0 mg,1023.6 mg
2022-04-02 12:49:16,16.1 mg,33.5 mg,1021.1 mg
2022-04-02 12:49:17,17.4 mg,33.4 mg,1023.7 mg
2022-04-02 12:49:18,19.4 mg,32.2 mg,1027.6 mg
2022-04-02 12:49:19,17.6 mg,33.1 mg,1022.8 mg
2022-04-02 12:49:20,15.6 mg,35.0 mg,1021.6 mg
2022-04-02 12:49:21,18.5 mg,35.7 mg,1026.4 mg
2022-04-02 12:49:22,16.2 mg,33.4 mg,1028.0 mg
2022-04-02 12:49:23,18.6 mg,35.6 mg,1025.4 mg
2022-04-02 12:49:24,19.2 mg,34.6 mg,1024.0 mg
2022-04-02 12:49:25,17.3 mg,34.6 mg,1023.8 mg
2022-04-02 12:49:26,20.4 mg,33.8 mg,1022.9 mg
2022-04-02 12:49:27,18.9 mg,33.1 mg,1022.3 mg
2022-04-02 12:49:28,17.1 mg,35.6 mg,1023.3 mg
2022-04-02 12:49:29,16.6 mg,36.6 mg,1024.4 mg
2022-04-02 12:49:30,17.8 mg,33.5 mg,1025.8 mg
2022-04-02 12:49:31,17.7 mg,32.0 mg,1023.1 mg
2022-04-02 12:49:32,17.9 mg,33.5 mg,1025.8 mg
2022-04-02 12:49:33,18.1 mg,33.0 mg,1022.1 mg
2022-04-02 12:49:34,19.6 mg,35.5 mg,1022.2 mg
2022-04-02 12:49:35,19.4 mg,35.7 mg,1025.2 mg
2022-04-02 12:49:36,18.5 mg,35.8 mg,1028.0 mg
2022-04-02 12:49:37,14.8 mg,35.6 mg,1024.3 mg
2022-04-02 12:49:38,18.9 mg,34.6 mg,1025.9 mg
2022-04-02 12:49:39,17.9 mg,36.8 mg,1028.8 mg
2022-04-02 12:49:40,18.2 mg,32.7 mg,1023.6 mg
2022-04-02 12:49:41,16.8 mg,32.8 mg,1024.2 mg
2022-04-02 12:49:42,18.9 mg,36.0 mg,1024.2 mg
2022-04-02 12:49:43,15.6 mg,34.2 mg,1022.0 mg
2022-04-02 12:49:44,17.3 mg,35.7 mg,1024.3 mg
2022-04-02 12:49:45,18.9 mg,32.6 mg,1025.0 mg
2022-04-02 12:49:46,19.6 mg,33.3 mg,1022.5 mg
2022-04-02 12:49:47,15.7 mg,36.6 mg,1022.6 mg
2022-04-02 12:49:48,18.3 mg,35.4 mg,1024.7 mg
2022-04-02 12:49:49,17.3 mg,33.2 mg,1027.6 mg
2022-04-02 12:49:50,20.0 mg,32.3 mg,1024.9 mg
2022-04-02 12:49:51,17.4 mg,32.3 mg,1021.4 mg
2022-04-02 12:49:52,19.8 mg,34.6 mg,1024.1 mg
2022-04-02 12:49:53,18.7 mg,31.7 mg,1022.4 mg
2022-04-02 12:49:54,19.3 mg,32.0 mg,1024.4 mg
2022-04-02 12:49:55,18.4 mg,35.5 mg,1020.6 mg
2022-04-02 12:49:56,16.9 mg,34.4 mg,1024.1 mg
2022-04-02 12:49:57,20.3 mg,35.9 mg,1025.7 mg
2022-04-02 12:49:58,17.7 mg,34.9 mg,1025.4 mg
2022-04-02 12:49:59,21.2 mg,32.2 mg,1025.4 mg
2022-04-02 12:50:00,17.0 mg,35.2 mg,1023.3 mg
2022-04-02 12:50:01,16.9 mg,34.9 mg,1024.8 mg
2022-04-02 12:50:02,17.4 mg,33.0 mg,1024.4 mg
2022-04-02 12:50:03,18.1 mg,34.4 mg,1024.2 mg
2022-04-02 12:50:04,20.8 mg,34.7 mg,1023.6 mg
2022-04-02 12:50:05,16.6 mg,33.8 mg,1024.6 mg
2022-04-02 12:50:06,19.0 mg,33.1 mg,1026.1 mg
2022-04-02 12:50:07,18.6 mg,31.6 mg,1025.4 mg
2022-04-02 12:50:08,19.4 mg,35.1 mg,1025.6 mg
2022-04-02 12:50:09,20.4 mg,37.5 mg,1022.8 mg
2022-04-02 12:50:10,15.9 mg,34.1 mg,1024.1 mg
2022-04-02 12:50:11,19.1 mg,32.7 mg,1028.3 mg
2022-04-02 12:50:12,18.7 mg,33.4 mg,1026.1 mg
2022-04-02 12:50:13,17.8 mg,34.1 mg,1024.0 mg
2022-04-02 12:50:14,20.5 mg,33.3 mg,1023.8 mg
2022-04-02 12:50:15,16.7 mg,33.8 mg,1024.7 mg
2022-04-02 12:50:16,17.2 mg,34.8 mg,1022.9 mg
2022-04-02 12:50:17,17.5 mg,33.5 mg,1024.0 mg
2022-04-02 12:50:18,17.5 mg,32.2 mg,1023.7 mg
2022-04-02 12:50:19,16.5 mg,35.6 mg,1024.9 mg
2022-04-02 12:50:20,20.1 mg,35.3 mg,1022.9 mg
2022-04-02 12:50:21,19.4 mg,34.6 mg,1027.0 mg
2022-04-02 12:50:22,16.7 mg,31.8 mg,1024.8 mg
2022-04-02 12:50:23,17.9 mg,35.2 mg,1025.1 mg
2022-04-02 12:50:24,17.5 mg,32.9 mg,1023.1 mg
2022-04-02 12:50:25,16.9 mg,34.9 mg,1024.5 mg
2022-04-02 12:50:26,17.3 mg,37.7 mg,1024.6 mg
2022-04-02 12:50:27,15.4 mg,36.4 mg,1024.3 mg
2022-04-02 12:50:28,21.5 mg,34.0 mg,1025.5 mg
2022-04-02 12:50:29,18.7 mg,33.1 mg,1025.6 mg
2022-04-02 12:50:30,15.4 mg,35.9 mg,1022.5 mg
2022-04-02 12:50:31,19.6 mg,34.0 mg,1024.4 mg
2022-04-02 12:50:32,15.0 mg,35.4 mg,1023.9 mg
2022-04-02 12:50:33,19.8 mg,34.0 mg,1027.8 mg
2022-04-02 12:50:34,17.0 mg,34.1 mg,1024.6 mg
2022-04-02 12:50:35,15.4 mg,33.8 mg,1021.0 mg
2022-04-02 12:50:36,21.3 mg,33.2 mg,1024.5 mg
2022-04-02 12:50:37,20.2 mg,35.0 mg,1022.8 mg
2022-04-02 12:50:38,15.4 mg,34.8 mg,1024.9 mg
2022-04-02 12:50:39,17.6 mg,36.4 mg,1027.0 mg
2022-04-02 12:50:40,17.5 mg,34.4 mg,1024.4 mg
2022-04-02 12:50:41,19.5 mg,33.0 mg,1026.9 mg
2022-04-02 12:50:42,17.5 mg,36.4 mg,1023.1 mg
2022-04-02 12:50:43,18.5 mg,34.5 mg,1020.5 mg
2022-04-02 12:50:44,18.6 mg,33.5 mg,1026.1 mg
2022-04-02 12:50:45,18.5 mg,35.4 mg,1025.1 mg
2022-04-02 12:50:46,21.4 mg,35.3 mg,1025.7 mg
2022-04-02 12:50:47,19.6 mg,32.8 mg,1024.6 mg
2022-04-02 12:50:48,15.8 mg,31.6 mg,1026.1 mg
2022-04-02 12:50:49,20.9 mg,30.6 mg,1024.3 mg
2022-04-02 12:50:50,18.7 mg,33.6 mg,1023.9 mg
2022-04-02 12:50:51,17.9 mg,35.5 mg,1021.3 mg
2022-04-02 12:50:52,16.8 mg,33.7 mg,1022.8 mg
2022-04-02 12:50:53,17.7 mg,34.0 mg,1027.9 mg
2022-04-02 12:50:54,16.4 mg,32.7 mg,1024.2 mg
2022-04-02 12:50:55,16.7 mg,33.9 mg,1024.8 mg
2022-04-02 12:50:56,17.7 mg,33.5 mg,1023.3 mg
2022-04-02 12:50:57,18.9 mg,35.6 mg,1025.3 mg
2022-04-02 12:50:58,19.0 mg,34.6 mg,1023.6 mg
2022-04-02 12:50:59,17.4 mg,34.3 mg,1024.4 mg
2022-04-02 12:51:00,17.7 mg,35.2 mg,1022.8 mg
2022-04-02 12:51:01,16.8 mg,29.6 mg,1024.4 mg
2022-04-02 12:51:02,17.6 mg,32.0 mg,1023.1 mg
2022-04-02 12:51:03,17.3 mg,33.4 mg,1024.5 mg
2022-04-02 12:51:04,17.8 mg,35.5 mg,1025.3 mg
2022-04-02 12:51:05,18.3 mg,36.4 mg,1025.3 mg
2022-04-02 12:51:06,19.7 mg,32.3 mg,1028.3 mg
2022-04-02 12:51:07,20.2 mg,35.4 mg,1025.5 mg
2022-04-02 12:51:08,18.2 mg,31.4 mg,1028.1 mg
2022-04-02 12:51:09,16.4 mg,33.7 mg,1025.7 mg
2022-04-02 12:51:10,18.4 mg,33.6 mg,1024.1 mg
2022-04-02 12:51:11,19.8 mg,31.1 mg,1026.2 mg
2022-04-02 12:51:12,17.1 mg,31.5 mg,1025.2 mg
2022-04-02 12:51:13,20.4 mg,31.8 mg,1026.1 mg
2022-04-02 12:51:14,21.7 mg,31.0 mg,1024.9 mg
2022-04-02 12:51:15,17.5 mg,32.6 mg,1023.0 mg
2022-04-02 12:51:16,15.4 mg,37.0 mg,1022.8 mg
2022-04-02 12:51:17,19.7 mg,35.8 mg,1024.4 mg
2022-04-02 12:51:18,19.4 mg,34.0 mg,1023.6 mg
2022-04-02 12:51:19,19.0 mg,35.3 mg,1025.2 mg
2022-04-02 12:51:20,19.1 mg,34.7 mg,1024.9 mg
2022-04-02 12:51:21,17.6 mg,31.5 mg,1024.8 mg
2022-04-02 12:51:22,17.4 mg,30.7 mg,1024.3 mg
2022-04-02 12:51:23,17.0 mg,34.3 mg,1024.7 mg
2022-04-02 12:51:24,17.2 mg,35.1 mg,1021.8 mg
2022-04-02 12:51:25,16.3 mg,34.4 mg,1023.5 mg
2022-04-02 12:51:26,16.7 mg,35.3 mg,1025.9 mg
2022-04-02 12:51:27,19.7 mg,33.1 mg,1026.5 mg
2022-04-02 12:51:28,17.1 mg,31.7 mg,1027.0 mg
2022-04-02 12:51:29,20.7 mg,31.1 mg,1024.6 mg
2022-04-02 12:51:30,17.8 mg,33.3 mg,1026.0 mg
2022-04-02 12:51:31,21.5 mg,30.6 mg,1025.5 mg
2022-04-02 12:51:32,19.1 mg,34.7 mg,1024.1 mg
2022-04-02 12:51:33,16.6 mg,33.6 mg,1020.5 mg
2022-04-02 12:51:34,20.0 mg,36.1 mg,1024.7 mg
2022-04-02 12:51:35,17.4 mg,35.5 mg,1024.1 mg
2022-04-02 12:51:36,15.6 mg,36.5 mg,1025.1 mg
2022-04-02 12:51:37,20.1 mg,35.9 mg,1024.2 mg
2022-04-02 12:51:38,19.0 mg,35.2 mg,1025.9 mg
2022-04-02 12:51:39,16.2 mg,34.6 mg,1028.9 mg
2022-04-02 12:51:40,19.4 mg,34.1 mg,1023.1 mg
2022-04-02 12:51:41,14.8 mg,32.8 mg,1023.9 mg
2022-04-02 12:51:42,17.0 mg,34.8 mg,1025.8 mg
2022-04-02 12:51:43,18.1 mg,35.4 mg,1021.7 mg
2022-04-02 12:51:44,18.0 mg,33.0 mg,1024.3 mg
2022-04-02 12:51:45,19.1 mg,37.2 mg,1026.1 mg
2022-04-02 12:51:46,21.4 mg,34.5 mg,1025.9 mg
2022-04-02 12:51:47,18.9 mg,37.3 mg,1027.0 mg
2022-04-02 12:51:48,19.7 mg,35.3 mg,1027.1 mg
2022-04-02 12:51:49,17.1 mg,34.1 mg,1021.8 mg
2022-04-02 12:51:50,19.0 mg,36.7 mg,1021.9 mg
2022-04-02 12:51:51,15.9 mg,34.4 mg,1024.7 mg
2022-04-02 12:51:52,17.6 mg,34.6 mg,1026.5 mg
2022-04-02 12:51:53,20.4 mg,32.5 mg,1024.1 mg
2022-04-02 12:51:54,17.7 mg,34.6 mg,1025.0 mg
2022-04-02 12:51:55,17.8 mg,35.3 mg,1023.4 mg
2022-04-02 12:51:56,18.4 mg,33.4 mg,1023.4 mg
2022-04-02 12:51:57,15.3 mg,34.1 mg,1026.7 mg
2022-04-02 12:51:58,18.4 mg,33.5 mg,1027.0 mg
2022-04-02 12:51:59,19.6 mg,34.6 mg,1029.1 mg
2022-04-02 12:52:00,17.8 mg,29.9 mg,1025.0 mg
2022-04-02 12:52:01,19.1 mg,32.9 mg,1023.1 mg
2022-04-02 12:52:02,17.3 mg,34.5 mg,1022.2 mg
2022-04-02 12:52:03,17.0 mg,36.0 mg,1023.0 mg
2022-04-02 12:52:04,17.6 mg,33.4 mg,1023.6 mg
