sep=,
"Time","Noise"
2022-04-04 09:18:13,0.0299 Vrms
2022-04-04 09:18:14,0.0317 Vrms
2022-04-04 09:18:15,0.0327 Vrms
2022-04-04 09:18:16,0.0307 Vrms
2022-04-04 09:18:17,0.0312 Vrms
2022-04-04 09:18:18,0.0313 Vrms
2022-04-04 09:18:19,0.0318 Vrms
2022-04-04 09:18:20,0.0365 Vrms
2022-04-04 09:18:21,0.0319 Vrms
2022-04-04 09:18:22,0.0334 Vrms
2022-04-04 09:18:23,0.0297 Vrms
2022-04-04 09:18:24,0.0333 Vrms
2022-04-04 09:18:25,0.0293 Vrms
2022-04-04 09:18:26,0.0294 Vrms
2022-04-04 09:18:27,0.0327 Vrms
2022-04-04 09:18:28,0.0327 Vrms
2022-04-04 09:18:29,0.0283 Vrms
2022-04-04 09:18:30,0.0304 Vrms
2022-04-04 09:18:31,0.0328 Vrms
2022-04-04 09:18:32,0.0309 Vrms
2022-04-04 09:18:33,0.0289 Vrms
2022-04-04 09:18:34,0.0341 Vrms
2022-04-04 09:18:35,0.0292 Vrms
2022-04-04 09:18:36,0.0338 Vrms
2022-04-04 09:18:37,0.0323 Vrms
2022-04-04 09:18:38,0.0322 Vrms
2022-04-04 09:18:39,0.0355 Vrms
2022-04-04 09:18:40,0.0284 Vrms
2022-04-04 09:18:41,0.0427 Vrms
2022-04-04 09:18:42,0.0352 Vrms
2022-04-04 09:18:43,0.0317 Vrms
2022-04-04 09:18:44,0.0366 Vrms
2022-04-04 09:18:45,0.0321 Vrms
2022-04-04 09:18:46,0.0357 Vrms
2022-04-04 09:18:47,0.0336 Vrms
2022-04-04 09:18:48,0.0385 Vrms
2022-04-04 09:18:49,0.0337 Vrms
2022-04-04 09:18:50,0.0317 Vrms
2022-04-04 09:18:51,0.0347 Vrms
2022-04-04 09:18:52,0.0364 Vrms
2022-04-04 09:18:53,0.0320 Vrms
2022-04-04 09:18:54,0.0326 Vrms
2022-04-04 09:18:55,0.0303 Vrms
2022-04-04 09:18:56,0.0304 Vrms
2022-04-04 09:18:57,0.0326 Vrms
2022-04-04 09:18:58,0.0296 Vrms
2022-04-04 09:18:59,0.0317 Vrms
2022-04-04 09:19:00,0.0316 Vrms
2022-04-04 09:19:01,0.0349 Vrms
2022-04-04 09:19:02,0.0311 Vrms
2022-04-04 09:19:03,0.0296 Vrms
2022-04-04 09:19:04,0.0300 Vrms
2022-04-04 09:19:05,0.0333 Vrms
2022-04-04 09:19:06,0.0315 Vrms
2022-04-04 09:19:07,0.0371 Vrms
2022-04-04 09:19:08,0.0285 Vrms
2022-04-04 09:19:09,0.0338 Vrms
2022-04-04 09:19:10,0.0307 Vrms
2022-04-04 09:19:11,0.0301 Vrms
2022-04-04 09:19:12,0.0286 Vrms
2022-04-04 09:19:13,0.0281 Vrms
2022-04-04 09:19:14,0.0361 Vrms
2022-04-04 09:19:15,0.0353 Vrms
2022-04-04 09:19:16,0.0343 Vrms
2022-04-04 09:19:17,0.0340 Vrms
2022-04-04 09:19:18,0.0334 Vrms
2022-04-04 09:19:19,0.0327 Vrms
2022-04-04 09:19:20,0.0338 Vrms
2022-04-04 09:19:21,0.0344 Vrms
2022-04-04 09:19:22,0.0323 Vrms
2022-04-04 09:19:23,0.0391 Vrms
2022-04-04 09:19:24,0.0285 Vrms
2022-04-04 09:19:25,0.0356 Vrms
2022-04-04 09:19:26,0.0351 Vrms
2022-04-04 09:19:27,0.0333 Vrms
2022-04-04 09:19:28,0.0335 Vrms
2022-04-04 09:19:29,0.0339 Vrms
2022-04-04 09:19:30,0.0300 Vrms
2022-04-04 09:19:31,0.0315 Vrms
2022-04-04 09:19:32,0.0302 Vrms
2022-04-04 09:19:33,0.0313 Vrms
2022-04-04 09:19:34,0.0266 Vrms
2022-04-04 09:19:35,0.0304 Vrms
2022-04-04 09:19:36,0.0328 Vrms
2022-04-04 09:19:37,0.0292 Vrms
2022-04-04 09:19:38,0.0300 Vrms
2022-04-04 09:19:39,0.0310 Vrms
2022-04-04 09:19:40,0.0307 Vrms
2022-04-04 09:19:41,0.0288 Vrms
2022-04-04 09:19:42,0.0352 Vrms
2022-04-04 09:19:43,0.0319 Vrms
2022-04-04 09:19:44,0.0335 Vrms
2022-04-04 09:19:45,0.0373 Vrms
2022-04-04 09:19:46,0.0297 Vrms
2022-04-04 09:19:47,0.0313 Vrms
2022-04-04 09:19:48,0.0301 Vrms
2022-04-04 09:19:49,0.0305 Vrms
2022-04-04 09:19:50,0.0306 Vrms
2022-04-04 09:19:51,0.0302 Vrms
2022-04-04 09:19:52,0.0305 Vrms
2022-04-04 09:19:53,0.0293 Vrms
2022-04-04 09:19:54,0.0302 Vrms
2022-04-04 09:19:55,0.0292 Vrms
2022-04-04 09:19:56,0.0299 Vrms
2022-04-04 09:19:57,0.0275 Vrms
2022-04-04 09:19:58,0.0288 Vrms
