sep=,
"Time","Light"
2022-04-04 09:18:13,400.3 lux
2022-04-04 09:18:14,400.3 lux
2022-04-04 09:18:15,403.2 lux
2022-04-04 09:18:16,403.2 lux
2022-04-04 09:18:17,403.2 lux
2022-04-04 09:18:18,403.2 lux
2022-04-04 09:18:19,403.2 lux
2022-04-04 09:18:20,403.2 lux
2022-04-04 09:18:21,403.2 lux
2022-04-04 09:18:22,403.2 lux
2022-04-04 09:18:23,403.2 lux
2022-04-04 09:18:24,403.2 lux
2022-04-04 09:18:25,403.2 lux
2022-04-04 09:18:26,403.2 lux
2022-04-04 09:18:27,403.2 lux
2022-04-04 09:18:28,403.2 lux
2022-04-04 09:18:29,403.2 lux
2022-04-04 09:18:30,403.2 lux
2022-04-04 09:18:31,403.2 lux
2022-04-04 09:18:32,404.1 lux
2022-04-04 09:18:33,406.1 lux
2022-04-04 09:18:34,403.8 lux
2022-04-04 09:18:35,400.6 lux
2022-04-04 09:18:36,403.2 lux
2022-04-04 09:18:37,401.8 lux
2022-04-04 09:18:38,400.3 lux
2022-04-04 09:18:39,400.3 lux
2022-04-04 09:18:40,400.3 lux
2022-04-04 09:18:41,398.9 lux
2022-04-04 09:18:42,397.4 lux
2022-04-04 09:18:43,400.0 lux
2022-04-04 09:18:44,400.3 lux
2022-04-04 09:18:45,400.3 lux
2022-04-04 09:18:46,400.3 lux
2022-04-04 09:18:47,400.3 lux
2022-04-04 09:18:48,400.3 lux
2022-04-04 09:18:49,400.3 lux
2022-04-04 09:18:50,402.4 lux
2022-04-04 09:18:51,403.5 lux
2022-04-04 09:18:52,406.1 lux
2022-04-04 09:18:53,406.1 lux
2022-04-04 09:18:54,407.8 lux
2022-04-04 09:18:55,409.0 lux
2022-04-04 09:18:56,409.0 lux
2022-04-04 09:18:57,409.0 lux
2022-04-04 09:18:58,409.0 lux
2022-04-04 09:18:59,409.0 lux
2022-04-04 09:19:00,409.0 lux
2022-04-04 09:19:01,409.0 lux
2022-04-04 09:19:02,409.0 lux
2022-04-04 09:19:03,409.0 lux
2022-04-04 09:19:04,409.0 lux
2022-04-04 09:19:05,409.0 lux
2022-04-04 09:19:06,409.0 lux
2022-04-04 09:19:07,409.0 lux
2022-04-04 09:19:08,409.0 lux
2022-04-04 09:19:09,409.0 lux
2022-04-04 09:19:10,410.7 lux
2022-04-04 09:19:11,409.5 lux
2022-04-04 09:19:12,409.5 lux
2022-04-04 09:19:13,411.8 lux
2022-04-04 09:19:14,411.8 lux
2022-04-04 09:19:15,411.8 lux
2022-04-04 09:19:16,414.7 lux
2022-04-04 09:19:17,414.7 lux
2022-04-04 09:19:18,416.2 lux
2022-04-04 09:19:19,415.6 lux
2022-04-04 09:19:20,417.6 lux
2022-04-04 09:19:21,419.6 lux
2022-04-04 09:19:22,419.0 lux
2022-04-04 09:19:23,420.5 lux
2022-04-04 09:19:24,420.5 lux
2022-04-04 09:19:25,421.6 lux
2022-04-04 09:19:26,423.4 lux
2022-04-04 09:19:27,423.4 lux
2022-04-04 09:19:28,426.0 lux
2022-04-04 09:19:29,427.2 lux
2022-04-04 09:19:30,429.1 lux
2022-04-04 09:19:31,429.1 lux
2022-04-04 09:19:32,429.1 lux
2022-04-04 09:19:33,429.1 lux
2022-04-04 09:19:34,430.6 lux
2022-04-04 09:19:35,432.0 lux
2022-04-04 09:19:36,432.0 lux
2022-04-04 09:19:37,432.0 lux
2022-04-04 09:19:38,432.0 lux
2022-04-04 09:19:39,432.0 lux
2022-04-04 09:19:40,432.0 lux
2022-04-04 09:19:41,432.0 lux
2022-04-04 09:19:42,432.0 lux
2022-04-04 09:19:43,432.0 lux
2022-04-04 09:19:44,432.0 lux
2022-04-04 09:19:45,432.0 lux
2022-04-04 09:19:46,432.0 lux
2022-04-04 09:19:47,432.0 lux
2022-04-04 09:19:48,432.0 lux
2022-04-04 09:19:49,432.0 lux
2022-04-04 09:19:50,432.0 lux
2022-04-04 09:19:51,432.0 lux
2022-04-04 09:19:52,429.7 lux
2022-04-04 09:19:53,431.4 lux
2022-04-04 09:19:54,429.1 lux
2022-04-04 09:19:55,429.1 lux
2022-04-04 09:19:56,426.8 lux
2022-04-04 09:19:57,426.2 lux
2022-04-04 09:19:58,425.1 lux
2022-04-04 09:19:59,423.4 lux
2022-04-04 09:20:00,421.1 lux
2022-04-04 09:20:01,420.5 lux
2022-04-04 09:20:02,419.6 lux
2022-04-04 09:20:03,416.2 lux
2022-04-04 09:20:04,414.7 lux
2022-04-04 09:20:05,412.1 lux
2022-04-04 09:20:06,411.0 lux
2022-04-04 09:20:07,407.5 lux
2022-04-04 09:20:08,404.1 lux
2022-04-04 09:20:09,402.6 lux
2022-04-04 09:20:10,396.6 lux
2022-04-04 09:20:11,393.1 lux
2022-04-04 09:20:12,389.7 lux
2022-04-04 09:20:13,385.6 lux
2022-04-04 09:20:14,379.3 lux
2022-04-04 09:20:15,373.0 lux
2022-04-04 09:20:16,366.6 lux
2022-04-04 09:20:17,360.0 lux
2022-04-04 09:20:18,353.8 lux
2022-04-04 09:20:19,351.4 lux
2022-04-04 09:20:20,347.9 lux
2022-04-04 09:20:21,344.4 lux
2022-04-04 09:20:22,342.9 lux
2022-04-04 09:20:23,339.8 lux
2022-04-04 09:20:24,338.8 lux
2022-04-04 09:20:25,337.2 lux
2022-04-04 09:20:26,338.1 lux
2022-04-04 09:20:27,336.4 lux
2022-04-04 09:20:28,335.5 lux
2022-04-04 09:20:29,335.5 lux
2022-04-04 09:20:30,333.8 lux
2022-04-04 09:20:31,333.2 lux
2022-04-04 09:20:32,332.4 lux
2022-04-04 09:20:33,331.2 lux
2022-04-04 09:20:34,331.2 lux
2022-04-04 09:20:35,330.6 lux
2022-04-04 09:20:36,329.8 lux
2022-04-04 09:20:37,329.8 lux
2022-04-04 09:20:38,328.3 lux
2022-04-04 09:20:39,327.7 lux
2022-04-04 09:20:40,326.0 lux
2022-04-04 09:20:41,325.4 lux
2022-04-04 09:20:42,322.3 lux
2022-04-04 09:20:43,320.5 lux
2022-04-04 09:20:44,318.8 lux
2022-04-04 09:20:45,317.1 lux
2022-04-04 09:20:46,316.5 lux
2022-04-04 09:20:47,313.6 lux
2022-04-04 09:20:48,310.3 lux
2022-04-04 09:20:49,308.6 lux
2022-04-04 09:20:50,306.7 lux
2022-04-04 09:20:51,304.8 lux
2022-04-04 09:20:52,303.8 lux
2022-04-04 09:20:53,302.8 lux
2022-04-04 09:20:54,299.8 lux
2022-04-04 09:20:55,299.5 lux
2022-04-04 09:20:56,298.8 lux
2022-04-04 09:20:57,298.1 lux
2022-04-04 09:20:58,296.5 lux
2022-04-04 09:20:59,293.8 lux
2022-04-04 09:21:00,293.8 lux
2022-04-04 09:21:01,292.8 lux
2022-04-04 09:21:02,292.3 lux
2022-04-04 09:21:03,291.5 lux
2022-04-04 09:21:04,290.2 lux
2022-04-04 09:21:05,291.9 lux
2022-04-04 09:21:06,292.3 lux
2022-04-04 09:21:07,292.8 lux
2022-04-04 09:21:08,295.2 lux
2022-04-04 09:21:09,297.6 lux
2022-04-04 09:21:10,299.4 lux
2022-04-04 09:21:11,301.2 lux
2022-04-04 09:21:12,303.0 lux
2022-04-04 09:21:13,304.7 lux
2022-04-04 09:21:14,305.3 lux
2022-04-04 09:21:15,305.0 lux
